VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
294,739,2,3,926,64,834,15,594,44,182,80,113,10,1.51E-04,5.12E+01,6.32E+04,3.09E+07,1.27E+02,3.74E+01
649,444,8,3,593,19,638,41,853,45,169,11,896,3,2.42E-04,3.18E+01,2.38E+05,1.05E+07,1.23E+02,3.27E+01
276,796,1,1,925,66,716,14,602,98,631,91,112,10,4.10E-05,2.84E+01,5.77E+05,1.05E+07,6.59E+01,4.36E+01
293,727,2,3,591,63,824,14,618,44,168,88,112,11,1.80E-04,4.95E+01,9.84E+04,4.80E+07,1.34E+02,3.75E+01
631,752,1,3,931,67,572,9,602,46,181,89,198,9,1.02E-04,5.90E+01,4.06E+04,3.95E+07,9.45E+01,4.39E+01
631,752,2,3,597,66,658,14,602,48,196,89,103,17,1.57E-04,4.00E+01,2.38E+05,2.54E+07,1.31E+02,4.14E+01
631,770,1,3,977,67,572,9,602,53,171,89,198,9,8.07E-05,5.78E+01,4.06E+04,3.09E+07,8.86E+01,4.65E+01
250,872,1,1,889,67,615,16,535,39,130,89,109,19,4.64E-05,5.14E+01,4.06E+04,1.28E+07,7.82E+01,5.18E+01
250,812,2,1,914,68,833,24,602,92,162,91,113,7,6.56E-05,5.51E+01,4.06E+04,1.63E+07,7.61E+01,4.66E+01
300,797,1,1,888,67,805,12,621,40,179,89,113,19,9.64E-05,4.29E+01,1.53E+05,1.98E+07,8.29E+01,5.38E+01
276,795,1,2,915,67,580,16,595,92,179,91,113,10,8.45E-05,5.14E+01,1.53E+05,3.95E+07,8.33E+01,4.58E+01
631,745,2,3,609,67,630,14,602,46,165,87,115,11,1.68E-04,5.49E+01,6.32E+04,4.80E+07,1.30E+02,3.92E+01
709,752,2,2,932,66,642,10,602,30,181,89,115,11,1.46E-04,5.52E+01,4.06E+04,1.98E+07,1.03E+02,4.91E+01
295,760,1,1,926,66,834,15,594,97,182,84,113,10,8.33E-05,3.62E+01,5.77E+05,2.54E+07,7.68E+01,5.10E+01
275,886,2,3,924,60,716,14,602,44,631,90,112,10,1.75E-05,4.78E+01,1.68E+04,4.32E+06,8.33E+01,4.93E+01
217,872,1,1,889,67,629,14,632,42,184,89,108,19,4.09E-05,4.98E+01,4.06E+04,1.05E+07,7.78E+01,5.32E+01
276,796,1,3,879,67,830,14,478,98,179,87,113,10,5.28E-05,3.61E+01,3.71E+05,1.98E+07,9.15E+01,4.67E+01
